datetimeLoc,latitude,longitude,response_time_sec
2019-11-09T13:48:23.820000,38.8753484,-77.23457,255
2019-11-09T13:49:38.671000,38.8753633,-77.2344842,180
2019-11-09T14:13:41.398000,38.8754791,-77.234527,64
2019-11-09T15:31:15.973000,38.8753416,-77.2343625,398
2019-11-10T10:31:26.657000,38.8753767,-77.2344339,124
2019-11-11T11:01:10.902000,38.8983367,-77.0465467,2104
2019-11-11T11:01:13.970000,38.898365,-77.04663,653
2019-11-11T11:30:18.811000,38.90087,-77.0499917,125
2019-11-11T14:44:10.919000,38.8813013,-77.0263116,1044
2019-11-11T14:52:25.911000,38.9052333,-77.0581857,105
2019-11-11T15:02:39.493000,38.9231496,-77.0555914,2610
2019-11-11T15:46:14.508000,38.9233904,-77.0556681,1559
2019-11-11T16:12:36.791000,38.9235424,-77.055632,1272
2019-11-11T17:18:25.807000,38.8820059,-77.0372433,508
2019-11-11T17:43:59.591000,38.8468575,-76.9524686,3164
2019-11-11T18:04:01.988000,38.8997343,-77.0312964,635
2019-11-11T18:15:07.103000,38.899616,-77.0315437,43898
2019-11-11T18:16:52.999000,38.927935,-77.0316184,127
2019-11-11T18:34:33.613000,38.8919283,-77.0477733,74
2019-11-11T18:37:03.010000,38.8470462,-76.9525895,2856
2019-11-11T18:43:56.201000,38.8919655,-77.0448004,310
2019-11-11T19:19:16.190000,38.92794,-77.0311783,45295
2019-11-11T19:32:04.790000,38.8789343,-77.0234887,2321
2019-11-11T20:10:54.499000,38.8790866,-77.0236707,1426
2019-11-11T20:46:52.611000,38.8929098,-77.0153144,7654
2019-11-11T21:15:54.584000,38.8982244,-77.0239009,61
2019-11-11T21:32:10.286000,38.901865,-77.0513583,4353
2019-11-11T21:35:28.765000,38.8770069,-77.0164931,3605
2019-11-11T21:51:23.820000,38.8770935,-77.0171567,1986
2019-11-11T22:45:00.611000,38.9017686,-77.0512884,1455
2019-11-11T22:53:34.849000,38.9097,-77.0423483,27678
2019-11-11T22:56:28.153000,39.0189283,-76.9168583,1315
2019-11-11T22:58:23.307000,38.897877,-77.0262219,2534
2019-11-11T23:09:41.491000,38.9016671,-77.0516228,198
2019-11-11T23:18:32.077000,38.9621571,-76.9947413,61
2019-11-12T01:05:04.949000,38.8897497,-77.0357122,106
2019-11-12T01:12:08.464000,38.8910097,-77.0379281,28938
2019-11-12T06:19:12.947000,38.9169883,-77.0689017,9177
2019-11-12T07:19:01.354000,38.9235507,-77.0554193,1911
2019-11-12T07:54:37.412000,38.9278547,-77.0311479,283
2019-11-12T08:08:15.312000,38.8770217,-77.0175383,66
2019-11-12T08:46:28.506000,38.8932843,-77.0222908,7060
2019-11-12T09:43:40.895000,38.8955957,-77.0220556,9649
2019-11-12T09:45:04.509000,38.905345,-77.022165,1377
2019-11-12T09:55:35.916000,38.8988661,-77.0416507,800
2019-11-12T13:59:35.321000,38.9149817,-77.0421367,929
2019-11-12T15:02:04.870000,38.9054762,-77.0221493,1687
2019-11-12T15:30:25.719000,38.90548,-77.0221917,1363
2019-11-12T15:31:11.993000,38.9095981,-77.0480282,14301
2019-11-12T15:35:32.911000,38.8958817,-77.0221463,8649
2019-11-12T15:41:00.291000,38.9075527,-77.0634217,471
2019-11-12T16:52:06.497000,38.9059773,-77.0628165,281
2019-11-12T17:07:04.921000,38.877361,-77.0172886,667
2019-11-12T17:13:08.674000,38.9226041,-77.0423677,15346
2019-11-12T17:55:43.546000,38.9152246,-77.0191638,70920
2019-11-12T18:40:19.695000,38.8957175,-77.0222792,5564
2019-11-12T19:45:18.086000,38.8918867,-77.0380633,110
2019-11-12T19:47:52.119000,38.892198,-77.0361941,471
2019-11-12T19:53:33.406000,38.8952421,-77.0280563,881
2019-11-12T19:56:35.916000,38.9012802,-77.0283414,260
2019-11-12T19:57:44.622000,38.902199,-77.0296457,530
2019-11-12T20:01:33.870000,38.876907,-77.0178691,3278
2019-11-12T20:01:39.573000,38.9083034,-77.0294086,114
2019-11-12T21:36:48.619000,38.9170522,-77.0300552,11024
2019-11-12T22:17:15.200000,38.9102988,-77.0738472,1074
2019-11-12T22:19:48.390000,38.8928271,-77.0216204,58284
2019-11-12T23:48:14.918000,38.8933297,-77.0222072,45017
2019-11-13T01:07:22.492000,38.9078683,-77.0739517,33420
2019-11-13T02:34:39.991000,38.9173844,-77.0315564,2344
